Week,HomeTeam,AwayTeam,Total,H-RushAtt,H-RushYards,H-PassYards,H-Turnover,H-Score,A-RushAtt,A-RushYards,A-PassYards,A-Turnover,A-Score,Result
1,PHI,ATL,44.5,27,113,132,2,18,18,74,251,1,12,-1
1,CAR,DAL,42.5,32,147,161,1,16,22,94,170,1,8,-1
1,CLE,PIT,41.0,38,177,197,1,21,35,159,335,6,21,1
1,IND,CIN,47.5,22,75,319,2,23,20,101,243,2,34,1
1,ARI,WAS,43.5,15,68,153,2,6,42,182,255,1,24,-1
1,DEN,SEA,42.5,32,146,329,3,27,16,64,298,3,24,1
1,GNB,CHI,45.0,18,69,341,2,24,27,139,171,1,23,1
1,MIA,TEN,43.5,29,120,230,2,27,29,116,220,3,20,1
1,MIN,SFO,46.5,32,116,244,1,24,25,90,261,4,16,-1
1,NOR,TAM,50.0,13,43,439,2,40,34,112,417,0,48,1
1,NWE,HOU,49.5,31,122,277,3,27,34,167,176,2,20,-1
1,NYG,JAX,43.0,23,114,224,2,15,28,137,176,1,20,-1
1,BAL,BUF,39.0,34,117,260,1,47,22,83,98,2,3,1
1,LAC,KAN,48.0,22,123,424,2,28,27,106,256,0,38,1
1,DET,NYJ,44.0,15,39,300,5,17,36,169,198,2,48,1
1,OAK,LAR,47.5,23,95,303,3,13,26,140,233,0,33,-1
10,PIT,CAR,51.0,30,138,325,0,52,22,95,193,2,21,1
10,CHI,DET,44.5,22,54,355,0,34,24,76,274,3,22,1
10,CIN,NOR,53.5,16,110,198,2,14,47,244,265,0,51,1
10,CLE,ATL,49.5,29,211,216,1,28,19,71,330,2,16,-1
10,IND,JAX,48.0,23,81,285,1,29,34,91,324,1,26,1
10,GNB,MIA,48.5,25,195,199,1,31,23,131,213,2,12,-1
10,KAN,ARI,49.5,23,118,249,0,26,25,94,208,2,14,-1
10,NYJ,BUF,38.0,18,83,135,2,10,46,212,247,0,41,1
10,TEN,NWE,47.0,36,150,249,0,34,19,40,267,0,10,-1
10,PHI,DAL,45.5,16,71,360,1,20,28,171,270,0,27,1
10,OAK,LAC,50.0,22,114,243,1,6,26,113,223,1,20,-1
10,LAR,SEA,51.0,23,149,318,0,36,34,273,176,1,31,1
10,TAM,WAS,51.0,24,103,406,4,3,25,116,178,0,16,-1
10,SFO,NYG,45.0,29,124,250,2,23,23,97,188,0,27,1
11,SEA,GNB,49.0,35,173,225,1,27,13,48,332,0,24,1
11,ATL,DAL,50.0,18,80,291,1,19,29,132,208,0,22,-1
11,CHI,MIN,44.0,39,148,165,3,25,14,22,262,3,20,1
11,IND,TEN,50.0,28,102,295,0,38,27,91,203,2,10,-1
11,ARI,OAK,41.0,31,154,136,2,21,33,152,192,0,23,1
11,DET,CAR,48.0,26,94,220,0,20,16,56,357,1,19,-1
11,JAX,PIT,47.0,43,179,104,1,16,11,26,314,3,20,-1
11,NOR,PHI,56.5,37,173,373,0,48,12,58,156,3,7,-1
11,NYG,TAM,53.5,31,163,231,0,38,30,151,366,4,35,1
11,BAL,CIN,44.0,53,267,150,1,24,16,48,211,0,21,1
11,LAC,DEN,46.5,26,95,401,2,22,19,108,217,0,23,-1
11,WAS,HOU,40.5,29,124,189,2,21,31,139,208,3,23,1
11,LAR,KAN,63.5,21,76,413,2,54,20,98,478,5,51,1
12,DAL,WAS,40.0,34,146,289,0,31,20,80,268,3,23,1
12,DET,CHI,43.0,24,111,236,2,16,15,38,238,1,23,-1
12,NOR,ATL,61.5,31,150,171,1,31,16,26,377,4,17,-1
12,BUF,JAX,36.5,35,167,160,0,24,39,226,127,2,21,1
12,CAR,SEA,46.5,27,220,256,1,27,28,75,339,0,30,1
12,CIN,CLE,46.5,20,129,255,2,20,35,84,258,0,35,1
12,IND,MIA,52.5,26,118,347,3,27,25,113,204,1,24,-1
12,DEN,PIT,47.5,23,124,197,0,24,16,75,464,4,17,-1
12,MIN,GNB,48.0,29,91,342,0,24,19,82,198,1,17,-1
12,NYJ,NWE,46.5,15,74,276,1,13,36,215,283,0,27,-1
12,PHI,NYG,49.0,29,127,236,0,25,18,126,297,1,22,-1
12,BAL,OAK,42.0,43,242,178,2,34,19,67,194,1,17,1
