"Year","Opponent","Total_Passes_Attempted","Total_Passes_Completed","Total_Passing_Yards","Total_TD_Passes","Total_Ints","Total_Sacks"
2009,"ARI",542,320,3677,22,19,38
2009,"ATL",353,226,2686,17,8,18
2009,"BAL",401,235,2767,13,18,25
2009,"BUF",473,278,2914,13,21,28
2009,"CAR",337,211,2191,12,13,20
2009,"CHI",418,270,2971,25,9,27
2009,"CIN",493,290,3173,16,18,34
2009,"CLE",477,285,3791,22,7,36
2009,"DAL",470,290,3224,17,9,32
2009,"DEN",367,220,2384,13,11,26
2009,"DET",505,350,4167,34,8,26
2009,"GNB",416,229,2747,22,25,28
2009,"HOU",450,293,3058,16,11,25
2009,"IND",506,327,3221,19,13,28
2009,"JAX",387,275,3111,25,8,13
2009,"KAN",404,256,3196,23,13,15
2009,"MIA",401,233,3363,19,13,37
2009,"MIN",497,314,3515,25,10,46
2009,"NE",424,264,3119,21,10,24
2009,"NO",406,229,2791,10,17,20
2009,"NYG",337,212,2435,22,8,20
2009,"NYJ",398,213,2262,7,10,23
2009,"OAK",347,210,2810,13,8,28
2009,"PHI",433,265,2670,21,18,33
2009,"PIT",438,254,2927,17,9,35
2009,"SD",386,238,2514,17,10,24
2009,"SEA",423,292,3178,21,10,19
2009,"SFO",495,306,3453,12,15,36
2009,"STL",470,303,3759,21,8,25
2009,"TB",432,268,2840,22,19,24
2009,"TEN",572,386,4165,28,19,29
2009,"WAS",289,187,2226,13,5,18
2010,"ARI",325,200,2474,16,10,19
2010,"ATL",355,245,2623,16,15,17
2010,"BAL",509,308,3351,19,17,22
2010,"BUF",434,271,2969,23,10,26
2010,"CAR",395,248,2779,13,12,22
2010,"CHI",439,279,2916,11,15,27
2010,"CIN",417,271,2971,18,13,21
2010,"CLE",404,247,3036,21,15,21
2010,"DAL",440,297,3475,28,18,28
2010,"DEN",376,230,3060,21,8,19
2010,"DET",364,242,2729,20,10,32
2010,"GNB",415,244,2633,14,20,36
2010,"HOU",347,226,2821,23,6,16
2010,"IND",412,271,2837,16,8,26
2010,"JAX",416,284,3712,26,9,24
2010,"KAN",465,265,3134,19,8,31
2010,"MIA",377,229,2785,18,8,32
2010,"MIN",417,266,2905,21,12,25
2010,"NE",548,350,3964,22,22,32
2010,"NO",348,220,2425,9,6,21
2010,"NYG",408,235,2848,19,10,40
2010,"NYJ",502,257,3324,24,8,37
2010,"OAK",445,235,3152,27,11,44
