"StadiumName","game_id","Season","TimeStartGame","TimeEndGame","TZOffset","Source","DistanceToStation","TimeMeasure","Temperature","DewPoint","Humidity","Precipitation","WindSpeed","WindDirection","Pressure","EstimatedCondition","HomeTeam","RoofType","Longitude","Latitude","StadiumAzimuthAngle","Date"
"Arrowhead Stadium",2012093002,2012,"9/30/2012 12:00","9/30/2012 15:14",-5,"Meteostat",4.85,"9/30/2012 15:00|9/30/2012 14:00|9/30/2012 13:00|9/30/2012 12:00|9/30/2012 17:00|9/30/2012 11:00|9/30/2012 16:00",73.4257142857143,49.82,44,0,1.63428571428571,300,29.9189428571429,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"09/30/2012"
"Arrowhead Stadium",2010120503,2010,"12/5/2010 12:00","12/5/2010 15:02",-6,"Meteostat",4.85,"12/5/2010 13:00|12/5/2010 11:00|12/5/2010 17:00|12/5/2010 12:00|12/5/2010 14:00|12/5/2010 16:00|12/5/2010 15:00",29.5571428571429,12.7914285714286,49.2857142857143,0,7.43857142857143,315.714285714286,30.5546857142857,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"12/05/2010"
"Arrowhead Stadium",2014111604,2014,"11/16/2014 12:00","11/16/2014 15:04",-6,"Meteostat",4.85,"11/16/2014 11:00|11/16/2014 12:00|11/16/2014 13:00|11/16/2014 14:00|11/16/2014 17:00|11/16/2014 16:00|11/16/2014 15:00",23,9.91142857142857,57.2857142857143,0,8.71571428571429,284.285714285714,30.1767,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"11/16/2014"
"Arrowhead Stadium",2015112908,2015,"11/29/2015 12:00","11/29/2015 15:15",-6,"Meteostat",4.85,"11/29/2015 11:00|11/29/2015 12:00|11/29/2015 13:00|11/29/2015 17:00|11/29/2015 15:00|11/29/2015 14:00|11/29/2015 16:00",36.5771428571429,34.3657142857143,91.7142857142857,0.0427142857142857,9.67571428571429,61.4285714285714,30.2344857142857,"Light Rain|Moderate Rain","KAN","Outdoor",-94.483889,39.048889,316.3,"11/29/2015"
"Arrowhead Stadium",2017011500,2016,"1/15/2017 19:20","1/15/2017 22:19",-6,"Meteostat",4.85,"1/15/2017 21:00|1/15/2017 20:00|1/15/2017 22:00|1/15/2017 19:00|1/15/2017 23:00|1/16/2017 0:00",33.08,32.36,99.3333333333333,0,8.03833333333333,70,30.15895,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"01/15/2017"
"Arrowhead Stadium",2010102403,2010,"10/24/2010 12:00","10/24/2010 15:02",-5,"Meteostat",4.85,"10/24/2010 17:00|10/24/2010 15:00|10/24/2010 16:00|10/24/2010 14:00|10/24/2010 12:00|10/24/2010 13:00|10/24/2010 11:00",69.3114285714286,54.6542857142857,60.1428571428571,0,12.9771428571429,230,29.6666714285714,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"10/24/2010"
"Arrowhead Stadium",2011100208,2011,"10/2/2011 12:00","10/2/2011 14:55",-5,"Meteostat",4.85,"10/2/2011 12:00|10/2/2011 13:00|10/2/2011 11:00|10/2/2011 15:00|10/2/2011 14:00|10/2/2011 16:00",70.85,36.62,29.1666666666667,0,2.69333333333333,200,30.2308333333333,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"10/02/2011"
"Arrowhead Stadium",2020011900,2019,"1/19/2020 14:05","1/19/2020 17:09",-6,"Meteostat",17.4,"1/19/2020 18:00|1/19/2020 14:15|1/19/2020 17:15|1/19/2020 15:00|1/19/2020 19:00|1/19/2020 18:15|1/19/2020 16:15|1/19/2020 17:00|1/19/2020 14:00|1/19/2020 15:15|1/19/2020 16:00|1/19/2020 13:15",15.485,3.335,58.8333333333333,0,8.40666666666667,330,30.63255,"Clear|NA","KAN","Outdoor",-94.483889,39.048889,316.3,"01/19/2020"
"Arrowhead Stadium",2016091104,2016,"9/11/2016 12:00","9/11/2016 15:34",-5,"Meteostat",4.85,"9/11/2016 11:00|9/11/2016 12:00|9/11/2016 13:00|9/11/2016 14:00|9/11/2016 17:00|9/11/2016 15:00|9/11/2016 16:00",76.4342857142857,53.3428571428571,44.8571428571429,0,10.8457142857143,178.571428571429,30.1176428571429,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"09/11/2016"
"Arrowhead Stadium",2013120103,2013,"12/1/2013 15:25","12/1/2013 18:45",-6,"Meteostat",4.85,"12/1/2013 20:00|12/1/2013 18:00|12/1/2013 19:00|12/1/2013 15:00|12/1/2013 16:00|12/1/2013 17:00",50.48,33.83,53.1666666666667,0,0.973333333333333,90,29.96555,"Clear","KAN","Outdoor",-94.483889,39.048889,316.3,"12/01/2013"
